candidate_pid,kocc10,hub_reference
P_11953,7,0.903722
P_119553,8,0.858864
P_119555,12,0.893672
P_119560,9,0.854296
P_119561,6,0.865941
P_119562,11,0.856937
P_119568,7,0.858525
P_119569,13,0.867077
P_119577,4,0.901069
P_11958,7,0.900816
P_119585,16,0.861913
P_11959,5,0.905973
P_119683,11,0.889700
P_119701,8,0.867740
P_119706,9,0.854733
P_119727,11,0.813973
P_119734,7,0.841439
P_119766,9,0.856974
P_119767,9,0.865246
P_119768,7,0.889423
P_119777,9,0.878033
P_119840,4,0.860105
P_119866,8,0.862791
P_11990,12,0.841921
P_119937,17,0.883049
P_11997,1,0.894277
P_11998,9,0.841781
P_120078,24,0.853498
P_12017,11,0.833139
P_120174,8,0.854142
P_12018,3,0.869608
P_12021,8,0.883200
P_12022,3,0.885481
P_12024,12,0.870670
P_120303,13,0.854274
P_120309,6,0.867292
P_12031,14,0.859895
P_120310,6,0.881788
P_120324,4,0.893000
P_120330,4,0.870520
P_120331,18,0.874841
P_120333,9,0.871539
P_120334,6,0.833022
P_120336,8,0.865732
P_120337,11,0.879774
P_120352,15,0.855102
P_120356,6,0.863132
P_12037,7,0.866136
P_120419,9,0.850558
P_12043,6,0.884750
P_120442,11,0.853443
P_120523,7,0.848088
P_120528,9,0.859890
P_12053,7,0.881153
P_120552,3,0.841006
P_12058,8,0.885794
P_120600,7,0.819448
P_120628,11,0.857523
P_120649,14,0.868451
P_120652,7,0.889502
P_120661,8,0.842703
P_1207,6,0.873869
P_120709,16,0.875885
P_120765,9,0.889886
P_12083,2,0.890759
P_120946,9,0.856633
P_121047,14,0.839767
P_121048,9,0.879170
P_121064,4,0.859342
P_121202,9,0.860478
P_121203,12,0.871754
P_121206,3,0.873778
P_121297,10,0.878166
P_121338,8,0.850515
P_121348,6,0.898448
P_12135,3,0.875087
P_121361,8,0.894654
P_121389,14,0.882814
P_12140,13,0.845965
P_121402,14,0.863751
P_121424,7,0.858110
P_121427,13,0.901666
P_121428,9,0.853416
P_121429,9,0.887688
P_121488,5,0.871475
P_121498,9,0.859108
P_121500,18,0.835177
P_121547,9,0.888433
P_121599,9,0.886000
P_12168,7,0.897112
P_12179,4,0.866862
P_12180,4,0.893652
P_121803,23,0.824554
P_12182,8,0.886869
P_121822,4,0.872620
P_121823,10,0.858727
P_121824,8,0.881809
P_121851,7,0.865326
P_121871,11,0.870754
P_121918,14,0.858713
P_121989,10,0.840197
P_122011,5,0.845549
P_122031,11,0.889136
P_122035,1,0.872074
P_122038,3,0.857984
P_122096,16,0.840691
P_122162,15,0.876880
P_122231,10,0.894480
P_122263,8,0.883085
P_122300,9,0.854100
P_122303,16,0.850054
P_12233,6,0.878347
P_122353,9,0.879153
P_122484,8,0.867676
P_122525,6,0.896394
P_122530,13,0.864230
P_122534,6,0.872518
P_12255,15,0.878314
P_122588,8,0.808235
P_122654,15,0.835993
P_122676,10,0.872178
