query_wid,s1_first,hyb_first,class
W_97632,774,774,A
W_5438,87,87,A
W_4689,1,1,R
W_23772,494,494,A
W_77841,23,19,B_not_promoted
W_25621,286,286,A
W_19748,340,340,A
W_30668,12,1,R
W_112097,25,9,B_not_promoted
W_56781,4,1,R
W_7581,227,227,A
W_38495,523,523,A
W_101220,12,9,B_not_promoted
W_9158,120,120,A
W_7584,8,19,B_demoted
W_20049,64,64,A
W_12795,23,12,B_not_promoted
W_706,11,1,R
W_106883,372,372,A
W_20257,147,147,A
W_12159,32,32,A
W_42997,4,9,B_demoted
W_1347,35,35,A
W_87425,299,299,A
W_11649,35,35,A
W_22965,90,90,A
W_22965,92,92,A
W_39785,96,96,A
W_112241,122,122,A
W_112241,137,137,A
W_35395,612,612,A
W_112241,3,2,B_not_promoted
W_112241,1059,1059,A
W_93655,2632,2632,A
W_112241,9,13,B_demoted
W_112241,1218,1218,A
W_112241,148,148,A
W_11667,252,252,A
W_9158,1,1,R
W_9297,1,9,B_demoted
W_20162,66,66,A
W_20414,1,4,B_demoted
W_1278,2749,2749,A
W_9133,1,1,R
W_15519,18,1,R
W_20122,479,479,A
W_5388,3,1,R
W_55442,53,53,A
W_706,18,1,R
W_4833,2,1,R
W_7312,11,1,R
W_2658,14,1,R
W_4642,1,1,R
W_401,8,13,B_demoted
W_7264,3496,3496,A
W_69914,749,749,A
W_11785,8,8,B_not_promoted
W_11785,28,1,R
W_161,19,1,R
W_20084,94,94,A
W_24473,22,2,B_not_promoted
W_11794,77,77,A
W_9376,36,36,A
W_11798,43,43,A
W_10528,6,1,R
W_19353,4,1,R
W_4820,125,125,A
W_3321,11,3,B_not_promoted
W_12140,20,9,B_not_promoted
W_11817,100,100,A
W_11817,28,25,B_not_promoted
W_22926,25,17,B_not_promoted
W_4829,82,82,A
W_4801,20,16,B_not_promoted
W_98152,30,3,B_not_promoted
W_19417,213,213,A
W_13540,12,2,B_not_promoted
W_11819,143,143,A
W_11819,180,180,A
W_9571,29,1,R
W_11819,143,143,A
W_11823,543,543,A
W_11823,441,441,A
W_9571,1101,1101,A
W_3904,3,18,B_demoted
W_11841,23,1,R
W_7762,450,450,A
W_11841,1,1,R
W_20049,122,122,A
W_375,3864,3864,A
W_20088,202,202,A
W_31725,77,77,A
W_12255,85,85,A
W_1409,1,1,R
W_35389,30,1,R
W_7581,18,8,B_not_promoted
W_6093,4,5,B_demoted
W_4681,51,51,A
W_35389,170,170,A
W_34604,35,35,A
W_4685,8,18,B_demoted
W_101001,39,39,A
W_50379,117,117,A
W_12542,3,1,R
W_1130,468,468,A
W_112640,1,1,R
W_112640,1,1,R
W_28687,136,136,A
W_112640,1,1,R
W_11898,2,1,R
W_11898,17,1,R
W_10526,15,1,R
W_8696,47,47,A
W_11898,8,1,R
W_3744,4,1,R
W_10253,2,1,R
W_11387,15,15,B_not_promoted
W_48,60,60,A
W_731,422,422,A
W_79329,642,642,A
W_303,3,1,R
W_373,1,1,R
W_7312,142,142,A
W_954,2,1,R
W_86795,161,161,A
W_42488,1,5,B_demoted
W_11006,11,20,B_demoted
W_11006,4,25,B_demoted
W_11006,51,51,A
W_2968,64,64,A
W_82985,1021,1021,A
W_11474,20,1,R
W_954,5,18,B_demoted
W_13208,1,1,R
W_954,24,7,B_not_promoted
W_383,78,78,A
W_2658,1495,1495,A
W_6102,1,1,R
W_20610,4,1,R
W_4749,2,1,R
W_40971,78,78,A
W_40971,7,10,B_demoted
W_40971,1,6,B_demoted
W_3497,327,327,A
W_30552,1538,1538,A
W_8872,1,1,R
W_10528,45,45,A
W_11535,1300,1300,A
W_954,23,23,B_not_promoted
W_954,1808,1808,A
W_4884,1031,1031,A
W_5958,6,1,R
W_11785,2,1,R
W_623,143,143,A
W_48,19,16,B_not_promoted
W_48,530,530,A
W_1456,1,1,R
W_13208,1,1,R
W_9576,303,303,A
W_12031,138,138,A
W_11474,162,162,A
W_42488,1,2,B_demoted
W_112910,17,1,R
W_112910,35,35,A
W_112910,20,1,R
W_18505,1,1,R
W_112910,16,5,B_not_promoted
W_112910,12,22,B_demoted
W_28495,33,33,A
W_8203,401,401,A
W_9507,5,5,B_not_promoted
W_10907,7,1,R
W_4354,2,1,R
W_4843,142,142,A
W_38476,32,32,A
W_5697,5,11,B_demoted
W_5368,59,59,A
W_961,1,1,R
W_932,40,40,A
W_4887,365,365,A
W_1443,1,1,R
W_4751,1,1,R
W_109122,2,1,R
W_367,2,1,R
W_28221,1604,1604,A
W_4692,10,2,B_not_promoted
W_1650,3,3,B_not_promoted
W_9004,5,28,B_demoted
W_2930,1,1,R
W_961,1,1,R
W_1478,1,1,R
W_97414,3,1,R
W_4277,1,1,R
W_2083,2,30,B_demoted
W_12135,362,362,A
W_102577,233,233,A
W_12140,67,67,A
W_4812,15,17,B_demoted
W_15521,83,83,A
W_14501,9,1,R
W_4775,4,1,R
W_12972,3,1,R
W_10848,111,111,A
W_11667,443,443,A
W_102577,744,744,A
W_2855,8,1,R
W_19912,96,96,A
W_12168,1,1,R
W_4217,309,309,A
W_5500,40,40,A
W_112241,4,1,R
W_3270,232,232,A
W_4683,66,66,A
W_5438,7,17,B_demoted
W_4683,46,46,A
W_3839,9,1,R
W_12317,4,7,B_demoted
W_38429,9,7,B_not_promoted
W_19903,2,1,R
W_42117,2,1,R
W_30209,8,1,R
W_4865,64,64,A
W_31327,1,14,B_demoted
W_373,29,28,B_not_promoted
W_11652,184,184,A
W_4829,93,93,A
W_9703,124,124,A
W_575,36,36,A
W_15521,1,1,R
W_1002,1,1,R
W_10428,12,8,B_not_promoted
W_11898,3,1,R
W_12255,2,1,R
W_111535,1,1,R
W_3928,1,1,R
W_16560,12,1,R
W_886,97,97,A
W_932,1,1,R
W_6210,244,244,A
W_35395,216,216,A
W_83873,1,1,R
W_83881,1,1,R
W_83871,1,1,R
W_12317,7,1,R
W_23239,2521,2521,A
W_1812,11,1,R
W_799,1,1,R
W_11841,5,1,R
W_83881,1,1,R
W_13127,4,1,R
W_642,1,1,R
W_13208,627,627,A
W_32058,1,1,R
W_3673,241,241,A
W_12168,2,1,R
W_9133,1,1,R
W_1409,1,1,R
W_12992,1,2,B_demoted
W_21013,1,1,R
W_12460,1,1,R
W_34086,2,1,R
W_3321,47,47,A
W_3321,3,1,R
W_3321,1285,1285,A
W_886,3252,3252,A
W_10685,1,1,R
W_10790,1,1,R
W_26,17,2,B_not_promoted
W_4749,8,3,B_not_promoted
W_679,4,1,R
W_1282,2,1,R
W_2393,8,1,R
W_34791,143,143,A
W_1894,1,1,R
W_113615,1,1,R
W_13875,58,58,A
W_25511,150,150,A
W_6031,15,24,B_demoted
W_12542,3,1,R
W_12542,1,1,R
W_12542,1,1,R
W_113724,3,1,R
W_113724,169,169,A
W_1650,1,1,R
W_3978,57,57,A
W_4922,1,1,R
W_13552,1,1,R
W_19985,12,1,R
W_13687,124,124,A
W_27477,3,1,R
W_5095,4,1,R
W_7818,353,353,A
W_7213,28,21,B_not_promoted
W_10901,895,895,A
W_4816,9,2,B_not_promoted
W_9626,2,1,R
W_9626,189,189,A
W_6292,492,492,A
W_662,27,1,R
W_9103,48,48,A
W_2301,1,1,R
W_21828,1,1,R
W_3497,4,1,R
W_8339,56,56,A
W_13208,2,1,R
W_3995,1,1,R
W_94,2,1,R
W_7550,6,1,R
W_94,702,702,A
W_3074,1,1,R
W_48,42,42,A
W_10685,178,178,A
W_4775,11,1,R
W_4012,7,18,B_demoted
W_1276,1,1,R
W_1278,3,1,R
W_3321,1,1,R
W_3904,1224,1224,A
W_11850,240,240,A
W_11850,283,283,A
W_1278,6,1,R
W_1308,20,29,B_demoted
W_14354,4,21,B_demoted
W_12792,5,1,R
W_32711,380,380,A
W_5368,1,1,R
W_69970,14,9,B_not_promoted
W_3529,22,29,B_demoted
W_1282,1,1,R
W_179,52,52,A
W_113615,1,1,R
W_3964,2,1,R
W_1108,1,1,R
W_2145,127,127,A
W_11841,1,1,R
W_82985,58,58,A
W_2968,57,57,A
W_31725,28,23,B_not_promoted
W_6616,93,93,A
W_14809,2,1,R
W_625,54,54,A
W_55861,1,1,R
W_47901,1,1,R
W_93644,11,9,B_not_promoted
W_20710,311,311,A
W_2083,1293,1293,A
W_1002,548,548,A
W_343,7049,7049,A
W_109122,274,274,A
W_114394,26,3,B_not_promoted
W_114394,1110,1110,A
W_114394,23,4,B_not_promoted
W_114394,436,436,A
W_114394,443,443,A
W_56366,572,572,A
W_62086,232,232,A
W_114408,13,13,B_not_promoted
W_114408,325,325,A
W_83881,272,272,A
W_9350,1,1,R
W_114408,58,58,A
W_114408,86,86,A
W_4277,13,1,R
W_12968,22,4,B_not_promoted
W_12972,58,58,A
W_12972,3,1,R
W_114490,274,274,A
W_114490,655,655,A
W_22945,15,17,B_demoted
W_12992,1,1,R
W_87758,9,3,B_not_promoted
W_6417,15,3,B_not_promoted
W_78838,467,467,A
W_35395,1291,1291,A
W_1924,1,1,R
W_10906,88,88,A
W_13204,719,719,A
W_1033,35,35,A
W_20036,755,755,A
W_10581,127,127,A
W_20120,4,1,R
W_13549,1,21,B_demoted
W_1305,5,1,R
W_2976,26,13,B_not_promoted
W_5616,1,1,R
W_34568,50,50,A
W_34568,98,98,A
W_34568,6,1,R
W_546,769,769,A
W_114606,15,8,B_not_promoted
W_114606,181,181,A
W_114608,37,37,A
W_114608,1,1,R
W_11641,27,29,B_demoted
W_30235,276,276,A
W_7229,79,79,A
