query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_342383,W_58783,170,0.006116572891319065,0,170,0.00611657,170,0.00611657,170,0.00611657,170,0.00611657,170,0.00611657,170,0.00611657
P_342385,W_65609,36,0.012295601741319944,0,36,0.0122956,36,0.0122956,36,0.0122956,36,0.0122956,36,0.0122956,36,0.0122956
P_342414,W_5440,37,0.009064620540691232,0,37,0.00906462,37,0.00906462,37,0.00906462,37,0.00906462,37,0.00906462,37,0.00906462
P_342673,W_4884,778,0.002419105538621727,0,778,0.00241911,778,0.00241911,778,0.00241911,778,0.00241911,778,0.00241911,778,0.00241911
P_342696,W_10845,14,0.017055938000006585,1,19,0.01548952,2,0.05277022,2,0.05277022,16,0.01631189,1,0.09443689,1,0.09443689
P_342711,W_27790,2,0.38074578338104326,6,1,0.23958902,1,0.5121942,1,0.5121942,1,0.23540709,1,0.56358308,1,0.56358308
P_342779,W_141096,14,0.026141839886424836,2,21,0.02107129,6,0.03315242,10,0.02683929,23,0.02122005,3,0.04565242,4,0.03870798
P_342830,W_122499,122,0.0035094420104109076,0,122,0.00350944,122,0.00350944,122,0.00350944,122,0.00350944,122,0.00350944,122,0.00350944
P_342834,W_1130,11,0.02919357219927152,2,8,0.03332848,1,0.1823321,1,0.1823321,5,0.03957848,1,0.1823321,1,0.1823321
P_342835,W_7213,63,0.006151612486360178,0,63,0.00615161,63,0.00615161,63,0.00615161,63,0.00615161,63,0.00615161,63,0.00615161
P_34295,W_10065,5131,0.0006641146552675641,0,5131,0.00066411,5131,0.00066411,5131,0.00066411,5131,0.00066411,5131,0.00066411,5131,0.00066411
P_343,W_343,2,0.20943929311541123,4,9,0.0880979,1,0.15981861,1,0.15927395,10,0.08676147,1,0.20432465,1,0.20432465
P_343016,W_38429,60,0.0134602664576908,0,60,0.01346027,60,0.01346027,60,0.01346027,60,0.01346027,60,0.01346027,60,0.01346027
P_343068,W_2427,2,0.15063634008333684,4,1,0.18938617,1,0.32009605,1,0.32009605,1,0.18759605,1,0.35759605,1,0.35759605
P_343346,W_141096,10,0.016395625674267132,1,23,0.01168548,18,0.01269192,21,0.01203055,19,0.01244826,15,0.01361785,14,0.01401467
P_343443,W_57375,336,0.003636135205022484,0,336,0.00363614,336,0.00363614,336,0.00363614,336,0.00363614,336,0.00363614,336,0.00363614
P_34353,W_34353,2,0.08960957015148026,3,5,0.06401433,2,0.08402526,2,0.08551335,5,0.06401433,2,0.08402526,2,0.08551335
P_343780,W_40924,208,0.006002638708860239,0,208,0.00600264,208,0.00600264,208,0.00600264,208,0.00600264,208,0.00600264,208,0.00600264
P_343787,W_113981,118,0.0034413174522661336,0,118,0.00344132,118,0.00344132,118,0.00344132,118,0.00344132,118,0.00344132,118,0.00344132
P_343818,W_9507,1,0.38315510156313276,4,8,0.10997388,1,0.35352547,1,0.35352547,8,0.10997388,1,0.34426621,1,0.34426621
P_343849,W_45948,19,0.011865309075156464,1,26,0.01068447,2,0.04914601,2,0.04914601,23,0.01110253,1,0.09081268,1,0.09081268
P_344020,W_112241,8,0.017641576005724913,1,27,0.01031133,30,0.01000269,11,0.01480067,26,0.01043004,30,0.01000269,9,0.01648417
P_344024,W_80336,144,0.0034153417142534248,0,144,0.00341534,144,0.00341534,144,0.00341534,144,0.00341534,144,0.00341534,144,0.00341534
P_344035,W_115728,4,0.2475308072883258,6,3,0.14488197,5,0.13292536,5,0.13292536,2,0.15741308,1,0.29156481,1,0.29026241
P_344325,W_88508,321,0.0019554329277970085,0,321,0.00195543,321,0.00195543,321,0.00195543,321,0.00195543,321,0.00195543,321,0.00195543
P_344326,W_141096,1019,0.0020505512887706717,0,1019,0.00205055,1019,0.00205055,1019,0.00205055,1019,0.00205055,1019,0.00205055,1019,0.00205055
P_344381,W_13216,9,0.100772275055646,5,13,0.10912785,6,0.13872287,6,0.12989361,11,0.10877513,2,0.18352781,2,0.17822478
P_34445,W_17866,33,0.03016346219880602,0,33,0.03016346,33,0.03016346,33,0.03016346,33,0.03016346,33,0.03016346,33,0.03016346
P_344641,W_20254,156,0.005567257721731513,0,156,0.00556726,156,0.00556726,156,0.00556726,156,0.00556726,156,0.00556726,156,0.00556726
P_344642,W_20254,323,0.004395392376036153,0,323,0.00439539,323,0.00439539,323,0.00439539,323,0.00439539,323,0.00439539,323,0.00439539
P_344643,W_20254,165,0.00475892237843676,0,165,0.00475892,165,0.00475892,165,0.00475892,165,0.00475892,165,0.00475892,165,0.00475892
P_344644,W_20254,278,0.004664882953624398,0,278,0.00466488,278,0.00466488,278,0.00466488,278,0.00466488,278,0.00466488,278,0.00466488
P_34466,W_14501,3,0.1351190339321407,4,3,0.08806005,4,0.10663155,4,0.10663155,1,0.14410968,2,0.16684666,2,0.16684666
P_344713,W_141096,10,0.023467047466554748,1,3,0.04291149,14,0.0210861,14,0.0210861,3,0.04291149,11,0.02270947,11,0.02270947
P_344723,W_4849,37,0.010248495921533297,0,37,0.0102485,37,0.0102485,37,0.0102485,37,0.0102485,37,0.0102485,37,0.0102485
P_344729,W_4849,880,0.0018902544180384633,0,880,0.00189025,880,0.00189025,880,0.00189025,880,0.00189025,880,0.00189025,880,0.00189025
