query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_335843,W_14969,5,0.024085802215778846,1,14,0.01337152,17,0.0123211,17,0.0123211,11,0.01499489,2,0.0490858,2,0.0490858
P_335844,W_14969,14,0.031448319774174,1,1,0.10882927,5,0.04216261,5,0.04216261,1,0.10882927,1,0.10882927,1,0.10882927
P_335862,W_6464,13,0.05967937866858395,3,1,0.2362707,2,0.12238181,2,0.12238181,1,0.28488181,1,0.20988181,1,0.20988181
P_335869,W_5549,8,0.03893005316483974,3,1,0.20906894,1,0.17434672,1,0.17434672,1,0.20906894,1,0.19656894,1,0.19656894
P_335891,W_4833,1,0.47459562617307793,7,1,0.42191152,1,0.54808142,1,0.54808142,1,0.41694728,1,0.58325458,1,0.58325458
P_335894,W_14809,1754,0.0009932535089797437,0,1754,0.00099325,1754,0.00099325,1754,0.00099325,1754,0.00099325,1754,0.00099325,1754,0.00099325
P_335898,W_11387,5,0.11067814224794754,4,1,0.16369469,3,0.15105829,3,0.15105829,1,0.16407783,1,0.23288573,1,0.23288573
P_336027,W_12542,1,0.5937337166521477,8,1,0.57754239,1,0.57763361,1,0.57763361,1,0.58489533,1,0.66292564,1,0.66292564
P_336104,W_11552,1,0.12215671765826482,3,1,0.11709095,1,0.13631364,1,0.13404091,1,0.11478586,1,0.14950808,1,0.14950808
P_33612,W_1278,462,0.00241075585125109,0,462,0.00241076,462,0.00241076,462,0.00241076,462,0.00241076,462,0.00241076,462,0.00241076
P_3362,W_424,1,0.24706138981597695,5,4,0.17310129,8,0.12777762,8,0.12777762,4,0.16924358,8,0.1318047,8,0.1318047
P_3364,W_424,19,0.03308254727690978,2,1,0.18778749,1,0.18778749,1,0.18778749,1,0.18778749,1,0.18778749,1,0.18778749
P_336561,W_113615,4,0.1359417631018738,4,1,0.23356081,1,0.32383859,1,0.32383859,1,0.23233532,1,0.35161637,1,0.35161637
P_3366,W_424,2,0.10901602955304503,3,1,0.13024024,1,0.21992873,1,0.21992873,1,0.1313272,1,0.28103984,1,0.28103984
P_336862,W_9271,27,0.01166359923536435,1,2,0.05024385,2,0.05024385,2,0.05024385,5,0.02524385,1,0.09191051,1,0.09191051
P_336866,W_9571,26,0.007832782522194914,1,2,0.04629432,1,0.08796099,1,0.08796099,1,0.08796099,1,0.08796099,1,0.08796099
P_3369,W_424,2,0.109079182140982,3,1,0.16266034,1,0.24020663,1,0.24020663,1,0.15869208,1,0.29228997,1,0.29228997
P_336923,W_43997,84,0.005598090785808855,0,84,0.00559809,84,0.00559809,84,0.00559809,84,0.00559809,84,0.00559809,84,0.00559809
P_336974,W_29299,799,0.0018731909396330973,0,799,0.00187319,799,0.00187319,799,0.00187319,799,0.00187319,799,0.00187319,799,0.00187319
P_337075,W_115814,1,0.44345370139531415,6,3,0.17142777,1,0.24396067,1,0.24396067,1,0.22419365,1,0.29941516,1,0.29870291
P_337219,W_12159,829,0.0012534083213234931,0,829,0.00125341,829,0.00125341,829,0.00125341,829,0.00125341,829,0.00125341,829,0.00125341
P_337222,W_11794,231,0.0027229026414224496,0,231,0.0027229,231,0.0027229,231,0.0027229,231,0.0027229,231,0.0027229,231,0.0027229
P_337349,W_11552,2014,0.0011885849317987938,0,2014,0.00118858,2014,0.00118858,2014,0.00118858,2014,0.00118858,2014,0.00118858,2014,0.00118858
P_337362,W_11641,156,0.005261241894112868,0,156,0.00526124,156,0.00526124,156,0.00526124,156,0.00526124,156,0.00526124,156,0.00526124
P_337479,W_3839,3,0.05240530893545658,2,1,0.10796086,1,0.18252227,1,0.18252227,1,0.10844819,1,0.18252227,1,0.18252227
P_337485,W_3839,20,0.009497832967403124,1,3,0.03310894,3,0.03310894,3,0.03310894,4,0.0261645,9,0.01459043,10,0.0136645
P_337751,W_40671,69,0.014062126435480993,0,69,0.01406213,69,0.01406213,69,0.01406213,69,0.01406213,69,0.01406213,69,0.01406213
P_337877,W_6807,1,0.2139167385173365,5,19,0.08227272,3,0.11754089,3,0.11431187,16,0.08429126,4,0.11974677,4,0.11892977
P_337934,W_7961,46,0.01089816485033956,0,46,0.01089816,46,0.01089816,46,0.01089816,46,0.01089816,46,0.01089816,46,0.01089816
P_337969,W_4217,298,0.0030132683647579946,0,298,0.00301327,298,0.00301327,298,0.00301327,298,0.00301327,298,0.00301327,298,0.00301327
P_33799,W_2970,4593,0.0007097955128600207,0,4593,0.0007098,4593,0.0007098,4593,0.0007098,4593,0.0007098,4593,0.0007098,4593,0.0007098
P_337992,W_12937,25,0.03695492947901666,1,13,0.04003185,22,0.03740947,21,0.03758985,13,0.04003185,7,0.04552636,7,0.04552636
P_33804,W_33804,5,0.08673612626064257,3,7,0.07013212,1,0.23078375,1,0.27840279,7,0.07502978,1,0.23673613,1,0.27840279
P_338080,W_4749,6,0.018695625903760962,1,1,0.08814007,5,0.0214734,5,0.0214734,1,0.08814007,1,0.08814007,1,0.08814007
P_338123,W_3221,5,0.033803297916725074,2,9,0.0169915,1,0.12698512,1,0.12698512,10,0.01606558,2,0.08531845,2,0.08531845
P_338210,W_34353,113,0.016410659836489965,0,113,0.01641066,113,0.01641066,113,0.01641066,113,0.01641066,113,0.01641066,113,0.01641066
P_338599,W_4779,10,0.04246655531713057,2,15,0.03907603,1,0.11462565,1,0.11462565,16,0.03872881,1,0.1198704,1,0.1198704
P_338608,W_10906,16,0.023650003619082705,1,28,0.02141786,1,0.101775,1,0.101775,28,0.02141786,1,0.101775,1,0.101775
P_338609,W_10850,21,0.010760245082777667,1,1,0.09012532,1,0.09012532,1,0.09012532,1,0.09012532,1,0.09012532,1,0.09012532
P_338634,W_10717,5,0.05254709653608019,2,1,0.09901174,1,0.11226932,1,0.11226932,1,0.09976932,1,0.12476932,1,0.12476932
P_338662,W_10428,6,0.029825448608915565,1,25,0.01926989,21,0.01990481,20,0.02010323,24,0.01940878,22,0.01972444,22,0.01972444
P_338791,W_4829,18,0.00844919831762705,1,6,0.01770846,18,0.0084492,19,0.00820553,6,0.01770846,16,0.0090279,20,0.00798624
P_339026,W_3097,170,0.0026491158032398514,0,170,0.00264912,170,0.00264912,170,0.00264912,170,0.00264912,170,0.00264912,170,0.00264912
P_339094,W_243,254,0.005075063913674759,0,254,0.00507506,254,0.00507506,254,0.00507506,254,0.00507506,254,0.00507506,254,0.00507506
P_339322,W_49809,22,0.018052711888331553,1,24,0.01773706,5,0.0309315,5,0.0309315,21,0.01823309,4,0.03509817,4,0.03509817
P_339328,W_7550,1,0.41980975183575864,6,3,0.1316844,1,0.5163706,1,0.5163706,3,0.13843654,1,0.5163706,1,0.5163706
P_33941,W_3673,10,0.013489783436299418,1,1,0.08848978,1,0.08848978,1,0.08848978,1,0.08848978,1,0.08848978,1,0.08848978
P_339414,W_10717,3,0.04312154724038994,1,23,0.01896696,6,0.02923266,6,0.02923266,23,0.01896696,3,0.04312155,3,0.04312155
P_33943,W_10790,1,0.432448834631663,7,1,0.50117766,1,0.42679175,1,0.42679175,1,0.52715169,1,0.52241373,1,0.52241373
P_339434,W_9006,23,0.009081013526608065,1,1,0.08879116,1,0.08879116,1,0.08879116,1,0.08879116,1,0.08879116,1,0.08879116
P_339695,W_140442,5,0.06938512727416078,2,2,0.1201427,11,0.06382957,11,0.06382957,2,0.1201427,6,0.06883551,6,0.06883551
P_339780,W_1478,120,0.00272845843669941,0,120,0.00272846,120,0.00272846,120,0.00272846,120,0.00272846,120,0.00272846,120,0.00272846
P_339788,W_799,35,0.02654343314009415,0,35,0.02654343,35,0.02654343,35,0.02654343,35,0.02654343,35,0.02654343,35,0.02654343
P_339858,W_79329,10,0.06305042213585489,3,28,0.04885707,2,0.11542111,2,0.11542111,28,0.04885707,1,0.14727661,1,0.14727661
P_339897,W_137560,2,0.1373670864164031,4,3,0.08815723,1,0.26789243,1,0.22161232,2,0.14164599,1,0.27173858,1,0.28185763
P_340310,W_75372,35,0.0048941467865572935,0,35,0.00489415,35,0.00489415,35,0.00489415,35,0.00489415,35,0.00489415,35,0.00489415
P_340318,W_4849,246,0.0027317811828751885,0,246,0.00273178,246,0.00273178,246,0.00273178,246,0.00273178,246,0.00273178,246,0.00273178
P_340442,W_141096,180,0.005700420883259417,0,180,0.00570042,180,0.00570042,180,0.00570042,180,0.00570042,180,0.00570042,180,0.00570042
P_340446,W_141096,2,0.06578504612192393,2,7,0.0339223,7,0.03245171,7,0.03522949,5,0.0399914,2,0.06145604,2,0.06578505
P_340449,W_141096,107,0.005650933553975793,0,107,0.00565093,107,0.00565093,107,0.00565093,107,0.00565093,107,0.00565093,107,0.00565093
P_340468,W_59954,14,0.028042810522382073,2,1,0.18280472,3,0.05780472,3,0.05780472,1,0.18280472,2,0.0716936,2,0.0716936
P_340575,W_4702,5,0.030800355491035065,1,24,0.01760591,1,0.09746702,1,0.09746702,23,0.01775688,1,0.09746702,1,0.09746702
P_340576,W_4694,32,0.006914468063803337,0,32,0.00691447,32,0.00691447,32,0.00691447,32,0.00691447,32,0.00691447,32,0.00691447
P_340578,W_94,3,0.1495803985219555,5,15,0.0775286,1,0.41229592,1,0.41229592,14,0.07876085,1,0.44354592,1,0.44354592
P_340579,W_5930,30,0.03303460508026974,1,17,0.03515879,4,0.05109016,2,0.07192349,17,0.03515879,3,0.05803461,2,0.07192349
P_340583,W_2658,1,0.0893271199669738,1,1,0.08932712,1,0.08932712,1,0.08932712,1,0.08932712,1,0.08932712,1,0.08932712
P_340598,W_141096,100,0.007080808647312604,0,100,0.00708081,100,0.00708081,100,0.00708081,100,0.00708081,100,0.00708081,100,0.00708081
P_340602,W_55442,24,0.012071928140000401,1,25,0.01193304,20,0.01276637,20,0.01276637,25,0.01193304,17,0.01350167,17,0.01350167
P_340606,W_141096,19,0.011048935907757242,1,1,0.0899963,1,0.0899963,1,0.0899963,1,0.0899963,2,0.04832964,2,0.04832964
P_340622,W_10745,84,0.0030460392119318787,0,84,0.00304604,84,0.00304604,84,0.00304604,84,0.00304604,84,0.00304604,84,0.00304604
P_340683,W_148,7,0.03994309393881847,2,15,0.03405176,1,0.11467854,1,0.11467854,15,0.03405176,1,0.12208595,1,0.12208595
P_340689,W_10790,2,0.40859692950601256,7,1,0.51094736,1,0.34647086,1,0.34647086,1,0.51094736,1,0.48011402,1,0.48011402
P_340690,W_9103,1,0.24802351394884578,4,1,0.32883159,1,0.35660937,1,0.35660937,1,0.35660937,1,0.35660937,1,0.35660937
P_340695,W_2696,46,0.028323536466779212,0,46,0.02832354,46,0.02832354,46,0.02832354,46,0.02832354,46,0.02832354,46,0.02832354
P_340729,W_2970,9,0.02370757523257583,1,1,0.09778165,1,0.09778165,1,0.09778165,1,0.09778165,1,0.09778165,1,0.09778165
P_340731,W_123840,14,0.008560721253962046,1,6,0.01649723,15,0.0081639,9,0.0118676,12,0.00955278,16,0.00781667,16,0.00781667
P_340736,W_21721,10,0.017634139002939773,1,30,0.01207858,30,0.01207858,29,0.01217437,30,0.01207858,30,0.01207858,29,0.01217437
P_340798,W_10852,30,0.043324868840792896,1,1,0.12388042,10,0.04888042,4,0.06138042,1,0.12388042,13,0.04695735,3,0.06832487
P_340805,W_9004,8,0.025129704241967286,1,27,0.01779946,2,0.0563797,2,0.0563797,28,0.01768923,2,0.0563797,2,0.0563797
P_340835,W_141096,478,0.004195358035050706,0,478,0.00419536,478,0.00419536,478,0.00419536,478,0.00419536,478,0.00419536,478,0.00419536
P_340844,W_10850,208,0.0026709539709999634,0,208,0.00267095,208,0.00267095,208,0.00267095,208,0.00267095,208,0.00267095,208,0.00267095
P_340845,W_141096,51,0.008987460739027313,0,51,0.00898746,51,0.00898746,51,0.00898746,51,0.00898746,51,0.00898746,51,0.00898746
P_340855,W_141096,367,0.0032879747101400574,0,367,0.00328797,367,0.00328797,367,0.00328797,367,0.00328797,367,0.00328797,367,0.00328797
P_340858,W_4887,97,0.003636085283489083,0,97,0.00363609,97,0.00363609,97,0.00363609,97,0.00363609,97,0.00363609,97,0.00363609
P_34086,W_34086,5,0.14891050356916255,7,1,0.42021621,1,0.45530684,1,0.45447588,1,0.45823326,1,0.54464785,1,0.53474706
P_340958,W_26941,1,0.42371290413557144,6,1,0.25174212,1,0.33798058,1,0.3363238,1,0.25501654,1,0.42598563,1,0.42598563
P_340988,W_111408,57,0.02192270738332583,0,57,0.02192271,57,0.02192271,57,0.02192271,57,0.02192271,57,0.02192271,57,0.02192271
P_340989,W_11474,96,0.00348483625707582,0,96,0.00348484,96,0.00348484,96,0.00348484,96,0.00348484,96,0.00348484,96,0.00348484
P_340993,W_141096,116,0.004188538129110739,0,116,0.00418854,116,0.00418854,116,0.00418854,116,0.00418854,116,0.00418854,116,0.00418854
P_3414,W_3414,1,0.13129996961656756,2,1,0.20352219,1,0.20352219,1,0.20352219,1,0.20352219,1,0.20352219,1,0.20352219
P_34140,W_3177,11,0.013754300665536352,1,2,0.04784521,10,0.01451188,10,0.01451188,1,0.08951188,1,0.08951188,1,0.08951188
P_341403,W_5555,1,0.5232040286407011,8,1,0.39876683,1,0.618086,1,0.618086,1,0.39876683,1,0.67050002,1,0.67050002
P_341448,W_11352,430,0.0022171342404379594,0,430,0.00221713,430,0.00221713,430,0.00221713,430,0.00221713,430,0.00221713,430,0.00221713
P_34150,W_9626,2,0.17252597944675938,5,14,0.11586921,1,0.29053692,1,0.28531956,14,0.11678833,1,0.43566679,1,0.43566679
P_341774,W_30668,264,0.005863696719737694,0,264,0.0058637,264,0.0058637,264,0.0058637,264,0.0058637,264,0.0058637,264,0.0058637
P_34203,W_679,2,0.18544234078263355,5,1,0.32942707,1,0.34382909,1,0.36714258,1,0.32398782,1,0.33246546,1,0.39363068
P_342046,W_64445,1,0.7624980281818708,11,11,0.28123888,1,0.5462322,1,0.5462322,12,0.2812028,1,0.664244,1,0.664244
P_34211,W_3237,326,0.0049451939866196155,0,326,0.00494519,326,0.00494519,326,0.00494519,326,0.00494519,326,0.00494519,326,0.00494519
P_34212,W_21528,45,0.008531911752645449,0,45,0.00853191,45,0.00853191,45,0.00853191,45,0.00853191,45,0.00853191,45,0.00853191
P_342197,W_13523,1,0.240376283225557,4,14,0.0821971,1,0.31539155,1,0.31539155,14,0.08168428,1,0.27511377,1,0.27511377
