candidate_pid,kocc10,hub_reference
P_114062,10,0.859202
P_114063,13,0.870603
P_114082,20,0.862784
P_11411,8,0.898905
P_114131,11,0.854349
P_114132,7,0.857287
P_114133,11,0.852664
P_114153,22,0.822512
P_114215,10,0.846754
P_114217,11,0.868484
P_114218,20,0.872781
P_114228,4,0.875589
P_1143,13,0.856227
P_114331,12,0.880252
P_114485,10,0.904458
P_114486,12,0.894014
P_114490,4,0.898195
P_114491,23,0.897083
P_114525,9,0.879103
P_114535,3,0.874801
P_114559,5,0.872278
P_114587,2,0.886421
P_114588,11,0.857707
P_114590,7,0.881129
P_114603,10,0.853061
P_114605,7,0.848197
P_114679,8,0.854540
P_114680,10,0.867698
P_114682,6,0.885410
P_11471,6,0.860751
P_11473,3,0.878739
P_11478,7,0.853748
P_11485,10,0.871493
P_11488,15,0.892102
P_114908,12,0.839300
P_114909,12,0.869047
P_114927,6,0.845575
P_114935,6,0.887302
P_115006,12,0.880280
P_115029,16,0.842997
P_115030,18,0.854526
P_115032,6,0.858105
P_115033,24,0.837155
P_115034,2,0.803386
P_115055,9,0.892977
P_115064,22,0.857472
P_115080,10,0.876552
P_115095,10,0.861146
P_115096,4,0.835206
P_115102,12,0.852281
P_115133,6,0.856695
P_115135,9,0.844322
P_115137,29,0.862552
P_115139,12,0.865263
P_115142,5,0.869272
P_115143,7,0.852594
P_11516,6,0.887382
P_115176,13,0.841548
P_115177,20,0.848716
P_115178,12,0.825322
P_115179,14,0.840213
P_115180,17,0.824900
P_115182,15,0.830372
P_115203,11,0.878297
P_115210,6,0.876798
P_115250,5,0.892757
P_1153,8,0.877790
P_115446,12,0.895141
P_115455,13,0.850202
P_115475,3,0.876298
P_115482,9,0.858154
P_11552,7,0.855460
P_115534,5,0.870701
P_11554,11,0.861622
P_115556,18,0.842390
P_115612,12,0.849298
P_115616,11,0.842096
P_115655,1,0.860946
P_115829,6,0.886878
P_116008,3,0.876230
P_116022,16,0.870552
P_116151,15,0.857363
P_116159,29,0.877289
P_116166,9,0.850251
P_116172,12,0.849642
P_116173,13,0.877549
P_116175,16,0.841431
P_116176,19,0.852799
P_116183,2,0.885082
P_116188,6,0.851905
P_116190,11,0.862468
P_116197,15,0.861125
P_116200,7,0.853827
P_116201,7,0.871181
P_116220,8,0.872334
P_116234,7,0.823357
P_116238,19,0.852050
P_116255,18,0.864741
P_116259,10,0.841913
P_116264,7,0.856532
P_116273,3,0.850971
P_116274,2,0.840543
P_116281,11,0.832278
P_116305,9,0.882300
P_116320,12,0.879558
P_116367,20,0.851894
P_116418,10,0.848580
P_116420,5,0.878644
P_116432,15,0.845257
P_116438,11,0.837645
P_11649,29,0.803144
P_116508,19,0.880540
P_116543,6,0.895604
P_116552,8,0.870924
P_116624,19,0.843529
P_116625,8,0.852268
P_116630,7,0.883214
P_116635,9,0.872813
P_116636,13,0.871351
P_116638,10,0.891483
P_116640,6,0.860872
P_116641,8,0.831693
P_116653,14,0.859738
P_11667,12,0.881878
P_116742,4,0.859754
P_116752,4,0.841717
P_116768,7,0.878054
P_116787,11,0.882195
P_116816,5,0.890944
P_116825,14,0.851760
P_116835,5,0.875207
P_11685,4,0.867316
P_116865,7,0.848926
P_116877,14,0.895163
P_116924,2,0.866229
P_116945,3,0.888924
P_116990,4,0.851600
P_117083,8,0.859347
P_117093,10,0.836850
P_117233,2,0.866269
P_117235,9,0.860750
P_117251,10,0.870636
P_117330,6,0.859029
P_11737,3,0.895757
P_117796,7,0.861274
P_117823,8,0.877945
P_117844,7,0.847421
P_117849,10,0.872964
P_11785,9,0.872747
P_11787,5,0.851948
P_117885,2,0.873595
P_117925,11,0.845338
P_117939,4,0.874049
P_11794,5,0.834318
P_11796,15,0.842743
P_11798,15,0.839920
P_117994,3,0.886900
P_11801,3,0.848230
P_118037,6,0.835108
P_118057,10,0.839397
P_11806,11,0.846433
P_118124,4,0.826399
P_118164,4,0.837404
P_11817,13,0.862896
P_11818,7,0.869207
P_118180,10,0.853703
P_118182,8,0.822463
P_118184,7,0.828988
P_118185,12,0.872757
P_118186,15,0.832922
P_118187,14,0.870509
P_11819,0,0.878654
P_11820,10,0.851575
P_118204,7,0.879065
P_11821,10,0.825030
P_11823,14,0.877965
P_11824,8,0.867786
P_118285,2,0.874324
P_11837,4,0.883201
P_118381,3,0.842283
P_11841,12,0.873540
P_118419,10,0.841070
P_11842,5,0.884050
P_118476,11,0.863363
P_118586,5,0.869831
P_118603,11,0.880789
P_118604,22,0.842652
P_118671,2,0.895517
P_118672,9,0.864561
P_11871,14,0.844364
P_118729,15,0.854247
P_118730,13,0.815418
P_11874,9,0.832800
P_118763,5,0.873735
P_118772,18,0.872664
P_118773,11,0.875487
P_118774,8,0.876944
P_118776,15,0.857623
P_118801,9,0.857944
P_118879,8,0.879100
P_11889,6,0.872922
P_118897,11,0.886438
P_118905,13,0.855376
P_118912,5,0.843093
P_118916,1,0.853540
P_118921,12,0.846196
P_11898,6,0.882834
P_11900,5,0.851819
P_11902,4,0.875583
P_119041,9,0.888332
P_11905,9,0.881449
P_119239,8,0.826508
P_119242,8,0.891006
P_119272,10,0.862530
P_11928,7,0.821569
P_119303,16,0.851849
P_119313,8,0.861396
P_11936,10,0.866226
P_119455,7,0.872013
P_119457,2,0.851222
P_11953,7,0.903722
P_119553,4,0.858864
P_119555,9,0.893672
P_119560,10,0.854296
P_119561,7,0.865941
P_119562,14,0.856937
P_119568,9,0.858525
P_119569,13,0.867077
P_119577,6,0.901069
P_11958,7,0.900816
P_119585,20,0.861913
P_11959,8,0.905973
P_119683,9,0.889700
P_119701,8,0.867740
P_119706,7,0.854733
P_119727,10,0.813973
P_119734,8,0.841439
P_119766,13,0.856974
P_119767,14,0.865246
P_119768,8,0.889423
P_119777,9,0.878033
P_119840,6,0.860105
P_119866,9,0.862791
P_11990,10,0.841921
P_119937,4,0.883049
P_11997,0,0.894277
P_11998,9,0.841781
P_120078,30,0.853498
P_12017,11,0.833139
P_120174,8,0.854142
P_12018,4,0.869608
P_12021,6,0.883200
P_12022,2,0.885481
P_12024,11,0.870670
P_120303,13,0.854274
P_120309,10,0.867292
P_12031,8,0.859895
P_120310,6,0.881788
P_120324,4,0.893000
P_120330,5,0.870520
P_120331,19,0.874841
P_120333,9,0.871539
P_120334,9,0.833022
P_120336,7,0.865732
P_120337,5,0.879774
P_120352,9,0.855102
P_120356,1,0.863132
P_12037,6,0.866136
P_120419,8,0.850558
P_12043,2,0.884750
P_120442,8,0.853443
P_120523,8,0.848088
P_120528,9,0.859890
P_12053,6,0.881153
P_120552,4,0.841006
P_12058,7,0.885794
P_120600,8,0.819448
P_120628,10,0.857523
P_120649,15,0.868451
P_120652,13,0.889502
P_120661,7,0.842703
P_1207,9,0.873869
P_120709,9,0.875885
P_120765,14,0.889886
P_12083,1,0.890759
P_120946,5,0.856633
P_121047,13,0.839767
P_121048,8,0.879170
P_121064,9,0.859342
P_121202,11,0.860478
P_121203,12,0.871754
P_121206,5,0.873778
P_121297,12,0.878166
P_121338,7,0.850515
P_121348,4,0.898448
P_12135,3,0.875087
P_121361,11,0.894654
P_121389,15,0.882814
P_12140,3,0.845965
P_121402,14,0.863751
P_121424,8,0.858110
P_121427,13,0.901666
P_121428,12,0.853416
P_121429,10,0.887688
P_121488,4,0.871475
P_121498,11,0.859108
P_121500,17,0.835177
P_121547,4,0.888433
P_121599,8,0.886000
P_12168,7,0.897112
P_12179,3,0.866862
P_12180,5,0.893652
P_121803,10,0.824554
